#########################################################################################################
# Fit coefficients on mass-radius relationships.
#
# Each mass-radius relationship is fitted by a function of the form :
#   log10(Rp/R_Earth) = a*log10(Mp/M_Earth) + exp(-d*(log10(Mp/M_Earth)+c)) + b
#
# Fits are performed only for cases where errcode=0
#
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# a,b,c,d : coefficients of the fits
# number : out of 20 masses, how many have errcode=0
# MAE : Mean Average Error (in %)
# max error : greatest error (in %) between one point and the fitted function
# loc : location of the point with the greatest error
#
# 2024 update:
# mass_low: lower limit in mass (units of M_e) on the validity range of the fit (lowest valid point)
# mass_up: upper limit in mass (units of M_e) on the validity range of the fit (upper valid point)
#
#########################################################################################################
#
#   x_core'    x_H2O     t_irr                a                b                d                c  number         MAE   max error     loc    mass_low     mass_up
   0.20000   0.60000    900.00   0.192094285705   0.238811686301   2.701942054979   0.522809221758      12    0.053762     0.17239      11    1.394586   19.995933
   0.20000   0.70000    900.00   0.186425751228   0.259076563278   2.734580805828   0.490380997079      12    0.066172     0.20154      11    1.395168   19.998377
   0.20000   0.80000    900.00   0.187342465453   0.268899051476   2.613890798952   0.482188399986      11    0.057894    0.099408      14    1.776806   19.987702
   0.20000   0.90000    900.00   0.186929857164   0.280399469946   2.544078362473   0.465226131633      11    0.075821     0.22708      12    1.777484   19.988129
   0.20000   1.00000    900.00   0.182469980213   0.298407156962   2.547246740738   0.443379407563      10     0.06749     0.14005      12    2.263017   19.994651
   0.20000   0.10000   1000.00   0.210567314574   0.131472987114   2.896143700734   0.713072365615      15     0.13786     0.32643      11    0.529071   15.701529
   0.20000   0.20000   1000.00   0.207276326505   0.158923168893   2.755541956272   0.653954822110      15    0.080068     0.21068      11    0.674548   19.995981
   0.20000   0.30000   1000.00   0.199743977598   0.187060334476   2.750770827104   0.606195597008      14    0.097166     0.25485       8    0.859358   19.993503
   0.20000   0.40000   1000.00   0.193524728404   0.211396241813   2.740593102224   0.571791454441      13    0.094069     0.22243      13    1.094023   19.999825
   0.20000   0.50000   1000.00   0.188954820258   0.231771059414   2.705812145811   0.545681601892      13    0.080747     0.20673       9    1.095492   19.991377
   0.20000   0.60000   1000.00   0.181912084947   0.255016926167   2.770169192166   0.507118050890      12    0.079803      0.1771      14    1.394779   19.996461
   0.20000   0.70000   1000.00   0.180243409846   0.269515491809   2.676300528846   0.496875920382      12    0.098048     0.27076      10    1.395668   19.997656
   0.20000   0.80000   1000.00   0.168594256646   0.299025469588   2.888995611202   0.441956598237      11    0.077303     0.14409      14    1.777265   19.999792
   0.20000   0.90000   1000.00   0.163443411804   0.317726583762   2.866482288300   0.426717514141      10    0.094922      0.2394      11    1.777986   15.692834
   0.20000   1.00000   1000.00   0.152935064642   0.346496205782   3.163233800546   0.354597862001      10    0.066465     0.15725      15    2.263132   19.988224
   0.20000   0.10000   1100.00   0.198352987232   0.147954427864   3.074953076803   0.694455322938      15     0.30918     0.86793       6    0.529199   15.700719
